"Source","Site","SiteName","StateNumber","StateName","GeneralizedStateNumber","GeneralizedStateName","VegUnite","DomSp1","DomSp2","DomSp3","Subdom1","Subdom2","Notes","ID","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"Key/EDIT","R042XB010NM","Gravelly",1,"ShrubSavanna",3,"ShrubSavanna","BOER4,LATR2,MUPO2","BOER4","LATR2","MUPO2",NA,NA,"",1,"PG,shrub,PG","PG","shrub","PG"
"Key/EDIT","R042XB010NM","Gravelly",2,"ShrubDominated",5,"ShrubDominated","LATR2,FLCE,BOER4","LATR2","FLCE","BOER4","MUPO2","PLMU3","",2,"shrub,shrub,PG","shrub","shrub","PG"
"Key/EDIT","R042XB010NM","Gravelly",3,"Shrubland ",6,"Shrubland","LATR2,MUPO2","LATR2","MUPO2",NA,NA,NA,"",3,"shrub,PG","shrub","PG",NA
"Key/EDIT","R042XB010NM","Gravelly",4,"SparseSavanna ",2,"AlteredSavanna","BOBA3,ARIST,SPORO","BOBA3","ARIST","SPORO","LATR2",NA,"Sparse savanna state not described in ESD",4,"PG,PG,PG","PG","PG","PG"
"Key/EDIT","R042XB010NM","Gravelly",5,"BarrenShrubland ",6,"Shrubland","LATR2","LATR2",NA,NA,NA,NA,"Bare state not described in ESD",5,"shrub","shrub",NA,NA
"Key/EDIT","R042XB010NM","Gravelly",6,"Bare",7,"Bare","",NA,NA,NA,NA,"","",6,"",NA,NA,NA
"Key/EDIT","R042XB012NM","Sandy",1,"BlackGramaGrassland",1,"Grassland","BOER4,SPORO,MUPO2","BOER4","SPORO","MUPO2",NA,NA,"",7,"PG,PG,PG","PG","PG","PG"
"Key/EDIT","R042XB012NM","Sandy",2,"MesquiteInvaded",4,"ShrubInvadedGrassland","BOER4,PRGL2","BOER4","PRGL2",NA,NA,NA,"",8,"PG,shrub","PG","shrub",NA
"Key/EDIT","R042XB012NM","Sandy",3,"Bunchgrass/Mesquite",4,"ShrubInvadedGrassland","SPORO,ARIST,PRGL2","SPORO","ARIST","PRGL2",NA,NA,"",9,"PG,PG,shrub","PG","PG","shrub"
"Key/EDIT","R042XB012NM","Sandy",4,"Shrubland",6,"Shrubland","PRGL2","PRGL2",NA,NA,NA,NA,"",10,"shrub","shrub",NA,NA
"Key/EDIT","R042XB012NM","Sandy",5,"ExoticPerennialGrassland",9,"ExoticDominated","ERLE","ERLE",NA,NA,NA,NA,"",11,"Inv","Inv",NA,NA
"EDIT","R042XB012NM","Sandy",6,"GrassyShrubland",4,"ShrubInvadedGrassland","PRGL2,SPORO,ARIST","PRGL2","SPORO","ARIST",NA,NA,"Not in state key",12,"shrub,PG,PG","shrub","PG","PG"
"Key/EDIT","R042XB023NM","Clayey",1,"TobosaGrassland",1,"Grassland","PLMU3","PLMU3",NA,NA,NA,NA,"",13,"PG","PG",NA,NA
"Key/EDIT","R042XB023NM","Clayey",2,"BurrograssGrassland",2,"AlteredGrassland","SCBR2,PLMU3","SCBR2","PLMU3",NA,NA,NA,"",14,"PG,PG","PG","PG",NA
"Key/EDIT","R042XB023NM","Clayey",3,"MixedShrub-Grassland",4,"ShrubInvadedGrassland","PLMU3,SCBR2,PRGL2","PLMU3","SCBR2","PRGL2","FLCE",NA,"",15,"PG,PG,shrub","PG","PG","shrub"
